date,ticker,type,shares,price,currency
2025-09-08,DLO,buy,81,13.45,USD
2025-09-08,WLDN,buy,11,101,USD
2025-09-08,AFRM,buy,22,87.5,USD
2025-09-08,ORCL,buy,8,239,USD
2025-09-09,NVDA,buy,8,168.26,USD
2025-09-09,IREN,buy,35,28.53,USD
2025-09-09,IOT,buy,26,39.5,USD
2025-09-11,NBIS,buy,11,92.01,USD
2025-09-16,OSCR,buy,56,17.8,USD
2025-09-17,ORCL,buy,3,300.1,USD
2025-09-19,BA,buy,5,214.3453,USD
2025-09-19,RBRK,buy,23,79.469,USD
2025-09-24,CRDO,buy,7,149.8,USD
2025-09-26,ORCL,buy,3,293.08,USD
2025-09-26,PGY,buy,25,34.85,USD
2025-09-30,AFRM,buy,13,76.92,USD
2025-09-30,CRDO,buy,4,146,USD
2025-09-30,GEV,buy,4,610,USD
2025-09-30,ALAB,buy,8,205.5,USD
2025-09-30,DAVE,buy,5,220,USD
2025-10-01,LITE,buy,6,160,USD
2025-10-02,PGY,buy,35,28.81,USD
2025-10-02,ALAB,buy,5,188.6,USD
2025-10-08,CRDO,buy,8,138.26,USD
2025-10-13,NUTX,buy,10,100.8,USD
2025-10-13,PGY,buy,37,27.01,USD
2025-10-13,OSCR,buy,52,19.41,USD
2025-10-14,HOOD,buy,8,134.5,USD
2025-10-14,ALAB,buy,6,173.7482,USD
2025-10-14,CRDO,buy,8,134.85,USD
2025-10-14,NUTX,buy,12,97,USD
2025-10-15,CRDO,buy,4,133.6,USD
2025-10-15,AMZN,buy,5,216.37,USD
2025-10-17,NBIS,buy,9,117.95,USD
2025-10-17,CRWV,buy,8,132.2,USD
2025-10-17,IONQ,buy,15,65.02,USD
2025-10-17,AFRM,buy,10,68,USD
2025-10-20,MPWR,buy,2,1035,USD
2025-10-21,NBIS,buy,10,107.88,USD
2025-10-21,NBIS,buy,5,106,USD










